,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
3584,Mar,1966,Provoked,AUSTRALIA,New South Wales,Maroubra,Fishing (big game),,,"No injury to occupants, hooked shark rammed boat, PROVOKED INCIDENT",N,,"Alleged to involve a White shark, 7.6 m [25'] "
3585,Mar,1966,Sea Disaster,SUDAN,Red Sea,,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,,FATAL,Y,,
3586,Feb,1966,Unprovoked,AUSTRALIA,New South Wales,Coledale Beach,Treading water,M,13,"Left leg & lower right leg bitten, taken ashore with shark still grasping his leg",N,14h00,"White shark, 2.5 m [8.25'], an immature female, previously injured"
3587,Jan,1966,Provoked,SOUTH AFRICA,Western Cape Province,Strandfontein Beach,Helping men land a shark,M,33,Left leg lacerated by hooked shark  PROVOKED INCIDENT,N,Afternoon,Copper shark
3588,Jan,1966,Sea Disaster,INDONESIA,North Sumatra,Near Belawan,wreck of the State Oil Company ship Permina,,,Sharks said to have killed some of the 80 people lost,Y,,
3589,Jan,1966,Unprovoked,USA,California,"Pebble Beach, Cypress Point, Monterey County",Free diving / Fishing(resting on the surface),M,29,"Hand, arm & thigh bitten",N,10h00 / 11h00,"White shark, 3 m [10'] "
3590,Jan,1966,Unprovoked,AUSTRALIA,New South Wales,Bellambi,Fishing,M,30,Buttocks bitten,N,,"Wobbegong shark, 5' "
3591,Jan,1966,Sea Disaster,COLUMBIA,,Off Cartagena,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,,"10 survived, 51 perished. ",Y,,Shark involvement not confirmed
3592,Jan,1966,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Riet River,Standing,M,16,Right calf lacerated,N,09h00,1.5 m to 1.8 m [5' to 6'] Zambesi shark
3593,Jan,1966,Unprovoked,AUSTRALIA,Western Australia,Woodman Point,Jumped into the water,M,43,"Lower leg nipped, arm bruised when he landed in boat",N,,76 cm [2.5'] carpet shark
3594,Jan,1966,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Surfing,M,15,Lower legs bitten,N,14h00,"1.8 m to 2 m [6' to 6'9""] shark"
3595,Jan,1966,Unprovoked,NEW ZEALAND,North Island,"Oakura Beach, Taranaki",Surfing,F,15,"FATAL, left leg bitten thigh to calf  ",Y,15h30,
3596,Jan,1966,Unprovoked,USA,Florida,"Hollywood, Broward County",Swimming,M,35,Thigh gashed,N,16h00,Hammerhead shark
3597,UNKNOWN,1966,Invalid,USA,California,"Huntington Beach, Orange County",Walking,F,15,Minor lacerations & abrasions to lower leg. ,UNKNOWN,"""After lunch""",Shark involvement not confirmed
3598,Dec,1965,Unprovoked,AUSTRALIA,Western Australia,"Bathurst Reef, Rottnest Island","Fishing, but standing in knee-deep water",M,40,Thigh & swim fin bitten,N,,1.8 m [6'] carpet shark
3599,Dec,1965,Unprovoked,JOHNSTON ISLAND,,,Freediving,M,,No injury,N,14h00,Grey reef shark
3600,Dec,1965,Boating,AUSTRALIA,South Australia,Cape Jervis,Fishing,,,No injury to occupants. Shark  gouged planks of boat,N,10h30,15' shark
3601,Nov,1965,Provoked,AUSTRALIA,Queensland,Near Brisbane,Fishing from 34' boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,,4.6 m [15'] shark
3602,Nov,1965,Unprovoked,PACIFIC OCEAN ,"250 miles southwest of O'ahu, Hawaii",Japanese fishing boat Taihei Maru No.10,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,"Left forearm bitten, surgically amputated",N,23h30,
3603,Nov,1965,Invalid,PANAMA,Caribbean Sea,Golfo de los Mosquitos,Argentine Air Force C-54,,,2 life preservers had been bitten by sharks,UNKNOWN,07h32,Shark involvement not confirmed
3604,Nov,1965,Unprovoked,AUSTRALIA,Queensland,Oak Beach,Surfing,M,24,Puncture wounds to right thigh,N,16h30,"Grey nurse shark, 2.4 m [8'] "
3605,Oct,1965,Unprovoked,,,Florida Strait,The boat Caribou II sank,M,39,Survived,N,,
3606,Oct,1965,Unprovoked,BAHAMAS,New Providence Island,Nassau,Sunbathing on beach when he saw child being attacked by the shark,M,32,Right arm & right leg bitten,N,,"1.8 m [6'], 180-lb shark"
3607,Oct,1965,Unprovoked,BAHAMAS,New Providence Island,Nassau,Playing in the water,F,,FATAL,Y,,"1.8 m [6'], 180-lb shark"
3608,Oct,1965,Unprovoked,NEW BRITAIN,West coast,"Outside the reef off Moputu Village, near Talasea","Fishing, shot a turtle",M,15,FATAL,Y,,2 sharks involved
3609,Oct,1965,Unprovoked,PAPUA NEW GUINEA,New Britain,,Wading,M,27,Toe severed,N,,
3610,Sep,1965,Provoked,PAPUA NEW GUINEA,Madang Province,Sek Harbor,Spearing fish,M,,"Minor injury, speared shark lacerated his kneecap & leg PROVOKED INCIDENT",N,,"""small shark"""
3611,Sep,1965,Provoked,PAPUA NEW GUINEA,East Sepik,Moem Village near Wewak,Fishing (rod & line),M,,Leg & hand bitten by shark that had been speared by another fisherman PROVOKED INCIDENT,N,14h00,0.9 m [3'] shark
3612,Sep,1965,Unprovoked,MEXICO,Veracruz,Playa Villa del Mar,,M,23,Leg & arm bitten,N,18h00,300-kg [662-lb] shark
3613,Aug,1965,Invalid,PHILIPPINES,,"Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea","Arsinoe, a French tanker",M,,"One man was lost, but he may have drowned",UNKNOWN,,Shark involvement not confirmed
3614,Aug,1965,Unprovoked,USA,New Jersey,"Steel Pier, Atlantic City, Atlantic County",Swimming,M,15,Right thigh lacerated,N,17h30,
3615,Jul,1965,Provoked,BAHAMAS,Bimini Islands,Lerner Marine Lab,Attempting to anesthetize shark,M,,Chest bitten PROVOKED INCIDENT,N,,"Lemon shark, 0.5 m"
3616,Jul,1965,Unprovoked,MEXICO,Veracruz,Mocambo,Bathing,M,25,"FATAL, both legs severed ",Y,17h00,
3617,Jul,1965,Boating,BERMUDA,Hamilton,,,,,"No injury to occupant, shark bit boat",N,,
3618,Jun,1965,Invalid,USA,Florida,"In front of Key Biscayne Beach Club, Key Biscayne",Wading,M,6,Parallel lacerations on right calf. Thought to be a barracuda bite ,UNKNOWN,,Questionable incident
3619,Jun,1965,Invalid,USA,Florida,150 miles southeast of Cape Kennedy,"Diving, retrieving film package from Titan 3C rocket",M,,"No injury, chased by 4.6 m [15'] oceanic whitetip sharks",UNKNOWN,,Invalid
3620,Jun,1965,Unprovoked,MEXICO,Veracruz,Mocambo,Swimming,M,38,"Right forearm severed, right leg bitten and surgically amputated",N,14h00,
3621,Jun,1965,Unprovoked,PAPUA NEW GUINEA,Near Bougainville (North Solomons),Huhunoti Island,Fishing,M,,Minor injury,N,,
3622,Jun,1965,Unprovoked,SOUTH PACIFIC OCEAN,,,Treading water,M,,"FATAL, body not recovered",Y,Morning, 
3623,May,1965,Unprovoked,MEXICO,Veracruz,Playa Mocambo,Swimming,M,,"FATAL, left leg & right arm severed ",Y,12h00,
3624,May,1965,Unprovoked,MEXICO,Veracruz,Playa Mocambo,Swimming,M,,"FATAL, left arm & right leg severed ",Y,,
3625,UNKNOWN,1965,Unprovoked,EGYPT,,,Standing,M,,Leg bitten,N,,
3626,May,1965,Unprovoked,JAMAICA,,,Diving,M,,Minor injury,N,,
3627,May,1965,Unprovoked,MEXICO,Veracruz,Mocambo,Swimming,M,35,"Right arm severed, right leg bitten, not known if he survived",N,,
3628,Apr,1965,Unprovoked,USA,Florida,"Hobe Sound, Martin County",,M,49,"Thighs abraded, puncture wounds in dorsal surface of left hand",N,15h00,Bull shark
3629,Apr,1965,Invalid,USA,California,"Pacifica, San Mateo County",Surfing,M,19,Drowned & his body was not recovered. Sharks seen in area later that day but no shark involvement in surfer's death,UNKNOWN,16h00,Invalid
3630,Apr,1965,Unprovoked,USA,Florida,American Shoals off Key West,Fishing,M,28,Left hand severely lacerated,N,11h00,"White shark, 10' to 12' "
3631,Apr,1965,Unprovoked,PALAU,Western Caroline Islands,Koror,Walking on reef,M,8,Right leg bitten,N,15h30,"Tiger shark, tooth fragment recovered"
3632,Apr,1965,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Paddling on surfboard,M,17,Left hand punctured & lacerated,N,07h15,Blacktip or spinner shark
3633,Mar,1965,Invalid,USA,Puerto Rico,60 miles offshore north of San Juan,Aircraft exploded,M,,"All 16 onboard perished, recovery efforts hampered by sharks",UNKNOWN,11h30,Shark involvement prior to death was not confirmed
3634,Mar,1965,Unprovoked,USA,Florida,"Pompano Beach, Palm Beach County",Free diving,M,16,Survived,N,13h30,Mako shark
3635,Feb,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amatikulu,Treading water,M,25,"Abdomen, buttock, thigh, arm & hand bitten",N,15h00 or 15h45,"1.8 m [6'], 136-kg [300-lb] shark "
3636,Feb,1965,Unprovoked,USA,Massachusetts,"Granite Pier, Rockport",Scuba diving,M,18,Punctures on left thigh,N,14h30,1.2 m [4'] shark
3637,Jan,1965,Invalid,USA,California,"Newport Beach, Orange County",Motor boat Rebel Belle lost,M,21,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",UNKNOWN,,Shark involvement prior to death was not confirmed
3638,Jan,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Paddling rescue ski,M,22,"No injury, ski bitten",N,13h00,"White shark, 3.7 m [12'] "
3639,Jan,1965,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Surfing,M,20,Right thigh punctured,N,16h40,
3640,Jan,1965,Unprovoked,AUSTRALIA,Victoria,"East of Station Pier, Port Melbourne",Swimming,M,,Thigh gashed,N,,1.5 m [5'] shark
3641,Jan,1965,Unprovoked,NEW GUINEA,Central Province,Off Gaire Village,Free diving,M,30,FATAL,Y,,4.9 m [16'] whaler
3642,UNKNOWN,1965,Unprovoked,USA,Texas,"Port Lavaca, Calhoun County",Dangling feet in the water,M,13,Foot bitten,N,,
3643,UNKNOWN,1965,Provoked,USA,California,"Dana Point, San Clemente, Orange County",Surfing,M,Teen,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,,
3644,UNKNOWN,1965,Provoked,USA,Florida,"Between Palm  & Salerno Inlets, Martin County",Collecting marine specimens,M,,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,,"Nurse shark, 0.94 m to 1.2 m [3' to 4'] "
3645,UNKNOWN,1965,Unprovoked,RED SEA,East of the Gulf of Aqaba,,Standing in waist-deep water,M,,Leg bitten three times,N,,Small shark with white-tipped dorsal fin
3646,UNKNOWN,1965,Unprovoked,EGYPT,,South of Hurghada,"Fishing, but standing in the water",M,25 to 35,Ankle and thigh bitten; shark made three strikes,N,,"1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark"
3647,UNKNOWN,1965,Unprovoked,VANUATU,Malampa Province,Island of Paam'a,,M,,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,,
3648,UNKNOWN,1965,Invalid,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,Bather,,,No details,UNKNOWN,,Questionable incident
3649,Dec,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,19,"Hand, ankle & calf lacerated",N,17h00,Raggedtooth shark 
3650,Dec,1964,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,,M,,Thigh severely lacerated,N,,
3651,Dec,1964,Boating,AUSTRALIA,New South Wales,Port Jervis,Fishing,,,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 m [15'] shark
3652,Dec,1964,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island","Canoe swamped, swimming back to canoe",M,28,Survived,N,Late afternoon,2.1 m [7'] shark
3653,Dec,1964,Unprovoked,KENYA,Coast Province,"Kilindini Harbor, Mombasa",Fishing with hand line tied to wrist & was pulled into the water,M,10,FATAL,Y,,
3654,Nov,1964,Unprovoked,AUSTRALIA,Victoria ,Lady Julia Percy Island,Free diving with seals,M,25,Left leg severed,N,14h30,"White shark, 2.4 m [8'] "
3655,Nov,1964,Unprovoked,AUSTRALIA,Queensland,"Fingal Beach, near Tweed Heads",Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,13h30,
3656,Nov,1964,Provoked,AUSTRALIA,New South Wales,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,,"White shark, 2.7 m [9'1""], 750-lb "
3657,Nov,1964,Boating,USA,Puerto Rico,,Fishing,,,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,Mako shark
3658,Oct,1964,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Fishing,M,,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,,
3659,Oct,1964,Invalid,USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",Boat Miss Becky  sank 12 miles from shore,,,"No injury to occupants, drove sharks away with paddles",UNKNOWN,Night,Invalid
3660,Oct,1964,Unprovoked,AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,09h30,"Grey nurse shark, 1.8 m [6']"
3661,Sep,1964,Invalid,,,,Fishing,M,24,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",UNKNOWN,11h00,Shark involvement prior to death was not confirmed
3662,Sep,1964,Unprovoked,TAIWAN,Northern Taiwan,"Tamsui Beach, Taipai",Swimming,M,32,FATAL,Y,14h00,
3663,Sep,1964,Unprovoked,TAIWAN,Northern Taiwan,Tamsui Beach,Swimming,M,20,Right thigh &  elbow bitten,N,13h30,1.8 m [6'] shark
3664,Aug,1964,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,M,14,Bruised & abraded ankle,N,14h30,
3665,Aug,1964,Unprovoked,MEXICO,Guerrero,Acapulco,Floating on his back in an inner tube,M,19,Right thigh bitten,N,14h00,1.8 to 2.4 m [6' to 8'] shark
3666,Aug,1964,Invalid,USA,Florida,5 miles south of Palm Beach,Fishing/ free diving,M,18,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,UNKNOWN,11h30,Invalid
3667,Aug,1964,Unprovoked,USA,Florida,"Panama City, Bay County",Swimming,M,,"No injury,  bumped repeatedly",N,11h30,3' shark
3668,Aug,1964,Unprovoked,USA,Florida,"2 miles off Jupiter, Palm Beach County",Fishing scuba,M,28,"No injury, shark hit scuba tank",N,12h00,Hammerhead shark
3669,Aug,1964,Unprovoked,JAPAN,Okayama Prefecture,Saidaiji,Swimming,M,12,"Leg bitten, surgically amputated",N,,
3670,Aug,1964,Unprovoked,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,Free diving / Fishing edge of reef,M,21,Foot lacerated,N,,Less than 1.2 m [4']
3671,Jul,1964,Provoked,USA,Puerto Rico,,,M,22,Arm lacerated by speared shark PROVOKED INCIDENT,N,11h00,Nurse shark
3672,Jul,1964,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Island Rock,Searching for remains of  Dr. Marais,M,30,"No injury, shark charged & impaled itself on spear",N,,Zambesi shark
3673,Jul,1964,Invalid,USA,Connecticut,"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream","Yacht Gooney Bird foundered, 4 survivors on raft",,,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",UNKNOWN,,Invalid
3674,Jul,1964,Invalid,SOUTH AFRICA,KwaZulu-Natal,Island Rock,Fishing,M,52,FATAL,Y,,
3675,Jul,1964,Provoked,USA,Florida,"Palm Beach, Palm Beach County",Tagging sharks,M,,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,,white shark
3676,Jul,1964,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),Standing /Fishing,M,,"FATAL, leg severed ",Y,,
3677,Jul,1964,Boating,PAPUA NEW GUINEA,New Ireland Province,Southern end,canoeing,,,"No injury to occupant, canoe struck several times by shark ",N,,
3678,Jun,1964,Sea Disaster,BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,,
3679,Jun,1964,Invalid,USA,New York,Long Island,Attempting to swim across the Atlantic Ocean,F,29,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",UNKNOWN,Night,Shark involvement prior to death was not confirmed
3680,Jun,1964,Boating,USA,California,"Long Beach, Los Angeles County",Fishing,,,"No injury to occupants, shark crashed through windshield of boat",N,,2.1 m [7'] shark
3681,Jun,1964,Boating,PAPUA NEW GUINEA,New Britain,Near Rabaul,Fishing,M,,"No injury to occupant, shark lifted canoe's outrigger",N,,2.4 m [8'] shark
3682,Jun,1964,Unprovoked,FIJI,Lau Group,"Tovu, Totoya Island",Fishing,M,23,Buttocks bitten,N,,
3683,Jun,1964,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming,M,40,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",UNKNOWN,>17h00,Shark involvement prior to death was not confirmed
3684,May,1964,Unprovoked,PANAMA,Caribbean Coast,,Standing,M,47,No injury,N,,Lemon shark 
3685,May,1964,Unprovoked,FIJI,Vita Levu,Naviti,Fishing,M,35,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,11h30,Tiger shark
3686,May,1964,Unprovoked,PANAMA,San Blas Islands,"Achutupu, a small island ner Ailigandi",Skin diving,M,13,"FATAL, torso / abdomen severely bitten  ",Y,,1.8 m [6'] shark
3687,Apr,1964,Unprovoked,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,Fishing,M,,FATAL,Y,,
3688,Mar,1964,Unprovoked,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,M,19,Left thigh lacerated,N,,1.8 m [6'] shark
3689,Mar,1964,Sea Disaster,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Presumed FATAL,Y,Midnight,
3690,Mar,1964,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Skin diving ,M,38,"Minor injury, abdomen abraded when he collided with the shark",N,16h00,1.7 m [5.5'] shark
3691,Mar,1964,Unprovoked,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",Free diving for shell,M,,Thigh & hand bitten,N,,3 m shark
3692,Feb,1964,Provoked,FIJI,,Savuli Reef,Fishing,,,Hooked shark bit boat PROVOKED INCIDENT,N,,"Tiger shark, 3.5 m, 250-lb female"
3693,Feb,1964,Unprovoked,NEW CALEDONIA,,,Diving for trochus shell,M,15,"FATAL, foot & part of other leg severed  ",Y,,
3694,Feb,1964,Unprovoked,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",Fishing,M,17,"FATAL, thigh and abdomen bitten ",Y,10h30,
3695,Feb,1964,Unprovoked,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",preparing to go skin diving,M,,Hand lacerated,N,12h00,
3696,Feb,1964,Unprovoked,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",Fishing,M,26,"No injury to diver, shark bit speargun",N,18h30,"White shark, 3 m [10'] "
3697,Feb,1964,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Body boarding,M,25,Right ankle lacerated,N,08h45,"White shark, 1.5 m [5'] k"
3698,Feb,1964,Unprovoked,NEW ZEALAND,North Island,"Hokio Beach, near Levin",Lying in 2 feet of water,M,,Right leg & shoulder lacerated,N,,"""sand shark"""
3699,Feb,1964,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Swimming,M,19,"FATAL, both legs bitten & right leg severed at knee ",Y,06h45,"White shark, 3 m to 3.7 m [10' to 12'] "
3700,Feb,1964,Invalid,AUSTRALIA,Queensland,Brisbane,Swimming,M,23,Body not recovered  / May have drowned prior to shark involvement,UNKNOWN,09h30,Shark involvement prior to death was not confirmed
3701,Feb,1964,Boating,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",Rowing,,,"No injury to occupants , shark nudged oars",N,12h00,1.8 m [6'] shark
3702,Feb,1964,Unprovoked,USA,Florida,Palm Beach County,Floating,M,12,No injury,N,,Hammerhead shark
3703,Feb,1964,Unprovoked,COSTA RICA,Puntarenas Province,Puntarenas,Swimming,M,,"FATAL, right arm & left thigh bitten ",Y,,
3704,Jan,1964,Unprovoked,FIJI,,70 miles from Suva,Fishing,,,FATAL,Y,,
3705,Jan,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,39,Heel & ankle bitten,N,16h00,
3706,Jan,1964,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Standing,M,17,Heel bitten,N,11h00,
3707,Jan,1964,Boating,SOUTH AFRICA,Western Cape Province,20 m from shore at Strand,Shark watching,,,"No injury to occupants, shark holed  boat",N,11h00,"White shark, 3.6 m [11'9""] "
3708,Jan,1964,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay,Freediving,M,,Arm lacerated,N,,Wobbegong
3709,Jan,1964,Unprovoked,USA,California,Southeast Farallon Island,Fishing/ Scuba diving (at surface),M,21,Leg & thigh bitten,N,12h00,White shark (tooth fragment recovered)
3710,Jan,1964,Unprovoked,PAPUA NEW GUINEA,New Britain,,Fishing,M,,FATAL,Y,,Tiger shark
3711,Jan,1964,Unprovoked,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,Swimming,F,20,Deep lacerations to her right thigh,N,15h00,
3712,Jan,1964,Unprovoked,AUSTRALIA,Western Australia,Metro coast,,,,,UNKNOWN,,
3713,Jan,1964,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Diving for sinkers,M,,Lacerations and puncture wounds in right arm ,N,19h00 / 20h00,2.1 m to 2.4 m  [7' to 8'] shark
3714,Jan,1964,Invalid,NEW ZEALAND,North Island,White Island,Snorkeling,M,,No injury,UNKNOWN,07h30,Invalid
3715,Dec,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shakas Rock",Standing,F,20,"Right hand & foot severed, thigh & buttock lacerated",N,14h00,"Zambesi shark, 1.8 m [6'] "
3716,Dec,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,Swimming ,M,24,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,15h00,1.8 m [6']  shark
3717,Dec,1963,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,,"No injury, shark's tail struck his armpit",N,Dawn,"4.3 m [14'], 1000-lb shark"
3718,Dec,1963,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Swimming,M,18,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,15h45,
3719,Dec,1963,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",UNKNOWN,,Invalid
3720,Dec,1963,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",Helping friend land hooked shark,M,13,Foot lacerated  PROVOKED INCIDENT,N,18h30,"Dusky shark, 1 m "
3721,Dec,1963,Provoked,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,,"Wobbegong shark, 3' "
3722,Dec,1963,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Fishing,M,,Foot lacerated,N,12h00,"White shark, 1.7 m [5.5']"
3723,Dec,1963,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing in surf,M,15,"FATAL, arm severed, leg bitten",Y,12h40,300- to 400-lb Zambesi shark
3724,Dec,1963,Unprovoked,AUSTRALIA,South Australia,55 miles south of Adelaide,Fishing,M,23,Torso & hand lacerated,N,12h45,White shark
3725,Dec,1963,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Pomio,Fishing,M,22,"FATAL, leg severely bitten",Y,,Tiger shark
3726,Nov,1963,Unprovoked,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",Treading water while alongside capsized yacht,M,20,Hand & lower leg severely injured,N,13h00,Possibly a broadnose 7-gill shark
3727,Nov,1963,Provoked,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Fishing / standing in waist deep water,F,18,Left arm lacerated  PROVOKED INCIDENT,N,14h00,Tiger shark
3728,Nov,1963,Unprovoked,FIJI, Lau Province,"Dravuwalu, Totoya Island",Fishing,F,21,Elbow bitten,N,11h00,>1.2 m [4'] tiger shark
3729,Nov,1963,Unprovoked,FIJI,Vita Levu,Rewa River,Spearing fish,M,25,Ankle & foot bitten,N,14h00,
3730,Nov,1963,Unprovoked,ITALY,Sicily,Off Mondello Lighthouse,Fishing,M,28,No injury,N,,
3731,Nov,1963,Provoked,AUSTRALIA,Queensland,Mermaid Beach,Catching sharks under government contract,M,,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,,"White shark, 15'2"" "
3732,Nov,1963,Provoked,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",Testing anti-shark cage,M,,No injury PROVOKED INCIDENT,N,11h40,"Silky shark, 1.9 m [6.5']"
3733,Nov,1963,Unprovoked,PAPUA NEW GUINEA,New Britain,,Wading,M,,Thigh lacerated ,N,,6' shark
3734,Nov,1963,Unprovoked,PALAU,Western Caroline Islands,Koror,Fishing,M,35,Left calf lacerated,N,03h00,Dooley believed his Injury was caused by stingray (Dasyatidae family)
3735,Oct,1963,Unprovoked,USA,Florida,"Biltmore Beach, near Panama City","Fishing, wading ",M,28,"Right thigh &  foot bruised, right calf  lacerated",N,17h30,500-lb shark
3736,Oct,1963,Provoked,NORTH PACIFIC OCEAN,,,Fishing for sharks,M,20,"Right hand lacerated, PROVOKED INCIDENT",N,,
3737,Sep,1963,Unprovoked,CHILE,,"El Panul, 12km south of Coquimbo",Fishing/ free diving,M,,FATAL,Y,11h00,"White shark, 4 m [13'] rk"
3738,Sep,1963,Invalid,USA,Florida,100 miles offshore,"Fishing, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",,25,Numerous dusky sharks & a 3 m to 4.6 m [10' to 15']  tiger sharks tried to overturn raft and one took Mrs. Dumas' body; scavenging by shark/s,UNKNOWN,,Invalid
3739,Sep,1963,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,Spearing fish,M,30,"FATAL, right thigh, calf & foot bitten ",Y,13h00,5.5 m [18'] shark
3740,Sep,1963,Provoked,AUSTRALIA,New South Wales,Wanda Beach,Surfing,M,18,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,09h30,1.5 m [5'] shark
3741,Sep,1963,Provoked,USA,Florida,"Snapper Point Jetty, Miami, Dade County","Fishing, pulled sharks tail",M,16,Minor injury to left forearm  PROVOKED INCIDENT,N,13h30,"Nurse shark, 1.2 m [4'] "
